DBA,BORO,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION DESCRIPTION,CRITICAL FLAG,GRADE,GRADE DATE,INSPECTION TYPE
CLIFFORD CHANCE CAFETERIA,Manhattan,WEST   52 STREET,10019,2128788287,American,04/04/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,04/04/2022,Cycle Inspection / Initial Inspection
QUALITY ITALIAN STEAKHOUSE,Manhattan,WEST   57 STREET,10019,2123901111,Italian,04/04/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,04/04/2022,Cycle Inspection / Initial Inspection
BOTTEGA RESTAURANT,Manhattan,2 AVENUE,10021,2122885282,Italian,04/05/2022,Violations were cited in the following area(s).,Live roaches present in facility's food and/or non-food areas.,Critical,A,04/05/2022,Cycle Inspection / Initial Inspection
THE KITCHEN SINK,Manhattan,2 AVENUE,10003,2124208050,American,04/05/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,04/05/2022,Cycle Inspection / Initial Inspection
THAI SLIDERS,Manhattan,8TH AVE,10011,2126750080,Thai,04/05/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,04/05/2022,Cycle Inspection / Initial Inspection
BOTTEGA RESTAURANT,Manhattan,2 AVENUE,10021,2122885282,Italian,04/05/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,04/05/2022,Cycle Inspection / Initial Inspection
TARTINERY,Manhattan,LIBERTY STREET,10280,6467558484,French,04/05/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,04/05/2022,Cycle Inspection / Initial Inspection
BARAKA BUFFET,Manhattan,FREDERICK DOUGLASS BOULEVARD,,2124913502,African,04/05/2022,Violations were cited in the following area(s).,Live roaches present in facility's food and/or non-food areas.,Critical,A,04/05/2022,Cycle Inspection / Initial Inspection
THE GREY DOG,Manhattan,WEST   16 STREET,10011,2122292345,American,04/05/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,04/05/2022,Cycle Inspection / Initial Inspection
DIVE 75,Manhattan,WEST   75 STREET,10023,2123627518,American,04/06/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,04/06/2022,Cycle Inspection / Initial Inspection
CLAUDETTE,Manhattan,5 AVENUE,10011,2128682424,French,04/06/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,04/06/2022,Cycle Inspection / Initial Inspection
CORBET & CONLEY CATERERS,Manhattan,EAST   17 STREET,10003,2129823939,American,04/07/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,04/07/2022,Cycle Inspection / Initial Inspection
ROSEN'S CAFE,Manhattan,BROADWAY,10004,2127859822,American,04/12/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,04/12/2022,Cycle Inspection / Initial Inspection
METROPOLITAN CLUB,Manhattan,EAST   60 STREET,10022,2128387400,American,04/12/2022,Violations were cited in the following area(s).,Live roaches present in facility's food and/or non-food areas.,Critical,A,04/12/2022,Cycle Inspection / Initial Inspection
BRASS MONKEY,Manhattan,LITTLE WEST   12 STREET,10014,2126756686,American,04/13/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,04/13/2022,Cycle Inspection / Initial Inspection
KELLY'S,Manhattan,AVENUE A,10009,2123881464,Irish,04/14/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,04/14/2022,Cycle Inspection / Initial Inspection
HOMETOWN HOTPOT & BBQ,Manhattan,GRAND STREET,10013,2122198833,Chinese,04/15/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,04/15/2022,Cycle Inspection / Initial Inspection
EL MITOTE,Manhattan,COLUMBUS AVENUE,10023,2128742929,Mexican,04/18/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,04/18/2022,Cycle Inspection / Initial Inspection
MR. BIGGS BAR AND GRILL,Manhattan,10 AVENUE,10036,2122462030,American,04/18/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,04/18/2022,Cycle Inspection / Initial Inspection
LA PALAPA,Manhattan,ST MARKS PLACE,10003,2127772537,Mexican,04/19/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,04/19/2022,Cycle Inspection / Initial Inspection
AIRS CHAMPAGNE PARLOR,Manhattan,MACDOUGAL STREET,10012,2124752246,French,04/20/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,04/20/2022,Cycle Inspection / Initial Inspection
TEA AND SYMPATHY,Manhattan,GREENWICH AVENUE,10011,2129899735,English,04/20/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,04/20/2022,Cycle Inspection / Initial Inspection
MEXICAN RESTAURANT,Manhattan,LEXINGTON AVENUE,10029,2123485981,Mexican,04/21/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,04/21/2022,Cycle Inspection / Initial Inspection
BAR VERDE,Manhattan,2 AVENUE,10003,2127776965,Latin American,04/21/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,04/21/2022,Cycle Inspection / Initial Inspection
LENWICH,Manhattan,PARK AVENUE SOUTH,10016,2125322653,American,04/22/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,04/22/2022,Cycle Inspection / Initial Inspection
MBJ DOWNTOWN (BMCC cafeteria),Manhattan,CHAMBERS STREET,10007,2125873330,American,04/25/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,04/25/2022,Cycle Inspection / Initial Inspection
Chinghiale,Manhattan,BROADWAY,10003,9178269213,American,04/25/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,04/25/2022,Cycle Inspection / Initial Inspection
"CAFETAL SOCIAL CLUB, CHACHIS",Manhattan,MOTT STREET,10012,2129661259,Italian,04/26/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,04/26/2022,Cycle Inspection / Initial Inspection
LA POSADA MEXICAN FOOD,Manhattan,3 AVENUE,10016,2122134379,Mexican,04/28/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,04/28/2022,Cycle Inspection / Initial Inspection
a.CAFE/ a. LOUNGE,Manhattan,WEST   58 STREET,10019,6467443104,American,04/29/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,04/29/2022,Cycle Inspection / Initial Inspection
LA AVENIDA,Manhattan,1 AVENUE,10029,9172011707,Mexican,05/04/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,05/04/2022,Cycle Inspection / Initial Inspection
Malt and Mold,Manhattan,2 AVENUE,10010,6462380272,American,05/04/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,05/04/2022,Cycle Inspection / Initial Inspection
CASA,Manhattan,BEDFORD STREET,10014,2123669410,Brazilian,05/04/2022,Violations were cited in the following area(s).,Live roaches present in facility's food and/or non-food areas.,Critical,A,05/04/2022,Cycle Inspection / Initial Inspection
BLUE RIBBON SUSHI BAR,Manhattan,ROCKEFELLER PLAZA,10112,2129370204,Japanese,05/05/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,05/05/2022,Cycle Inspection / Initial Inspection
THE LOBBY AT ACE HOTEL,Manhattan,WEST   29 STREET,10001,6462145768,American,05/10/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,05/10/2022,Cycle Inspection / Initial Inspection
TOFU TOFU,Manhattan,BOWERY,10013,2127962597,Korean,05/10/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,05/10/2022,Cycle Inspection / Initial Inspection
KING WOK,Manhattan,VARICK STREET,10014,9174782032,Chinese,05/11/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,05/11/2022,Cycle Inspection / Initial Inspection
BAR A FRITES,Manhattan,LIBERTY STREET,10280,2129818588,French,05/11/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,05/11/2022,Cycle Inspection / Initial Inspection
BAGELS & COMPANY,Manhattan,WEST   79 STREET,10024,2124969400,Jewish/Kosher,05/17/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,05/17/2022,Cycle Inspection / Initial Inspection
Chateau 49,Manhattan,2 AVENUE,10022,9172616022,French,05/17/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,05/17/2022,Cycle Inspection / Initial Inspection
SFOGLIA RESTAURANT,Manhattan,LEXINGTON AVENUE,10128,2128311402,Italian,05/18/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,05/18/2022,Cycle Inspection / Initial Inspection
CHIRP,Manhattan,WEST   34 STREET,10001,5155200657,Peruvian,05/19/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,05/19/2022,Cycle Inspection / Initial Inspection
GO GO CURRY,Manhattan,WEST   19 STREET,10011,2122554555,Japanese,05/24/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,05/24/2022,Cycle Inspection / Initial Inspection
PAD THAI NOODLE LOUNGE,Manhattan,8 AVENUE,10011,2126916226,Thai,05/26/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,05/26/2022,Cycle Inspection / Initial Inspection
MAMA,Manhattan,WEST   32 STREET,10001,2129671678,Korean,05/26/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,05/26/2022,Cycle Inspection / Initial Inspection
GIANO,Manhattan,EAST    7 STREET,10009,2126737200,Italian,05/31/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,05/31/2022,Cycle Inspection / Initial Inspection
CHAMA MAMA,Manhattan,WEST   14 STREET,10011,6466102815,Middle Eastern,06/07/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,06/07/2022,Cycle Inspection / Initial Inspection
HEALTHY BITE,Manhattan,207 STREET,,9143643159,American,06/07/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,06/07/2022,Cycle Inspection / Initial Inspection
MAMOUN'S FALAFEL,Manhattan,SAINT MARKS PLACE,10003,6468705785,Middle Eastern,06/07/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,06/07/2022,Cycle Inspection / Initial Inspection
18 RESTAURANT,Manhattan,EAST   81 STREET,10028,2125172400,Jewish/Kosher,06/14/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,06/14/2022,Cycle Inspection / Initial Inspection
JOHN'S OF 12TH STREET,Manhattan,EAST   12 STREET,10003,2124759531,Italian,06/14/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,06/14/2022,Cycle Inspection / Initial Inspection
THE DEAD POET,Manhattan,AMSTERDAM AVENUE,10024,2125955670,Irish,06/15/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,06/15/2022,Cycle Inspection / Initial Inspection
FORDHAM U- RAM CAFE AT LOWENSTEIN HALL,Manhattan,WEST   60 STREET,10023,6468684254,American,06/15/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,06/15/2022,Cycle Inspection / Initial Inspection
COURT STREET GROCER'S LAGUARDIA PLACE,Manhattan,LAGUARDIA PLACE,10012,2127779292,American,06/15/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,06/15/2022,Cycle Inspection / Initial Inspection
BARCADE,Manhattan,SAINT MARKS PLACE,10003,2123880522,American,06/15/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,06/15/2022,Cycle Inspection / Initial Inspection
JOOMAK BANJUM,Manhattan,5 AVENUE,10001,2122687888,Asian/Asian Fusion,06/15/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,06/15/2022,Cycle Inspection / Initial Inspection
GINA MEXICANA,Manhattan,EAST   61 STREET,10065,2125273700,Tex-Mex,06/15/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,06/15/2022,Cycle Inspection / Initial Inspection
COMMONS CAFE AT DENISTRY COLLEGE,Manhattan,EAST   24 STREET,10010,6465891924,American,06/15/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,06/15/2022,Cycle Inspection / Initial Inspection
DEMO KITCHEN,Manhattan,3 AVENUE,10022,2127052232,American,06/16/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,06/16/2022,Cycle Inspection / Initial Inspection
CAFE 47,Manhattan,WEST   66 STREET,10023,2124562453,American,06/17/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,06/17/2022,Cycle Inspection / Initial Inspection
RAI RAI KEN,Manhattan,EAST   10 STREET,10003,2124777030,Japanese,06/22/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,06/22/2022,Cycle Inspection / Initial Inspection
E.A.K. RAMEN,Manhattan,WEST   46 STREET,10036,6468508032,Japanese,06/23/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,06/23/2022,Cycle Inspection / Initial Inspection
OLYMPIA DELI & JUICE,Manhattan,AVENUE OF THE AMERICAS,10010,2129245074,American,07/01/2022,Violations were cited in the following area(s).,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,A,07/01/2022,Cycle Inspection / Initial Inspection
EL KALLEJON BOTANAS,Manhattan,EAST  117 STREET,10035,6466626835,Mexican,07/05/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,07/05/2022,Cycle Inspection / Initial Inspection
EL KALLEJON BOTANAS,Manhattan,EAST  117 STREET,10035,6466626835,Mexican,07/05/2022,Violations were cited in the following area(s).,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,A,07/05/2022,Cycle Inspection / Initial Inspection
MUI KITCHEN & BAR,Manhattan,WEST   32 STREET,10001,2122441900,Korean,07/05/2022,Violations were cited in the following area(s).,Live roaches in facility's food or non-food area.,Critical,A,07/05/2022,Cycle Inspection / Initial Inspection
K & S RAMEN,Manhattan,BROOME STREET,10002,9176079591,Japanese,07/12/2022,Violations were cited in the following area(s).,Live roaches in facility's food or non-food area.,Critical,A,07/12/2022,Cycle Inspection / Initial Inspection
EASTWOOD,Manhattan,CLINTON STREET,10002,2122330124,Middle Eastern,07/12/2022,Violations were cited in the following area(s).,Live roaches in facility's food or non-food area.,Critical,A,07/12/2022,Cycle Inspection / Initial Inspection
"SEAN'S BAR & KITCHEN, REILLEY'S PLATES & POURS",Manhattan,W 48TH ST,,2127649090,American,07/13/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,07/13/2022,Cycle Inspection / Initial Inspection
Bigoi Venezia,Manhattan,2 AVENUE,10021,9172620680,Italian,07/18/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,07/18/2022,Cycle Inspection / Initial Inspection
RESERVOIR,Manhattan,UNIVERSITY PLACE,10003,2124750770,American,07/19/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,07/19/2022,Cycle Inspection / Initial Inspection
CHINA KING,Manhattan,3 AVENUE,10010,2126798882,Chinese,07/19/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,07/19/2022,Cycle Inspection / Initial Inspection
IL TINELLO RISTORANTE,Manhattan,WEST   56 STREET,10019,2122454388,Italian,07/19/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,07/19/2022,Cycle Inspection / Initial Inspection
GAONNURI,Manhattan,BROADWAY,10001,2129719045,Korean,07/19/2022,Violations were cited in the following area(s).,Live roaches in facility's food or non-food area.,Critical,A,07/19/2022,Cycle Inspection / Initial Inspection
ARBOR BISTRO,Manhattan,WEST HOUSTON STREET,10014,2122557888,Japanese,07/20/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,07/20/2022,Cycle Inspection / Initial Inspection
GOOD TASTE CHINESE RESTAURANT,Manhattan,BROADWAY,10031,2122818898,Chinese,07/20/2022,Violations were cited in the following area(s).,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,A,07/20/2022,Cycle Inspection / Initial Inspection
MIYABI SUSHI & ASIAN CUISINE,Manhattan,WEST    3 STREET,10012,2122281688,Japanese,07/21/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,07/21/2022,Cycle Inspection / Initial Inspection
KING GARDEN RESTAURANT,Manhattan,BROADWAY,10033,2127813862,Chinese,07/21/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,07/21/2022,Cycle Inspection / Initial Inspection
POKE BOWL,Manhattan,EAST   17 STREET,10003,2127758540,Hawaiian,07/25/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,07/25/2022,Cycle Inspection / Initial Inspection
SUSHI FUSSION,Manhattan,WEST   47 STREET,10036,2122217480,Jewish/Kosher,07/26/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,07/26/2022,Cycle Inspection / Initial Inspection
SMITHFIELD HALL,Manhattan,WEST   25 STREET,10001,2129299677,American,07/26/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,07/26/2022,Cycle Inspection / Initial Inspection
BAODEGA,Manhattan,WEST   20 STREET,10011,6463706034,Chinese,07/26/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,07/26/2022,Cycle Inspection / Initial Inspection
JEREMY'S ALE HOUSE,Manhattan,FRONT STREET,10038,2129643537,American,07/26/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,07/26/2022,Cycle Inspection / Initial Inspection
CIRCLE LINE BROOKLYN,Manhattan,WEST 42 STREET,,9172843261,American,07/26/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,07/26/2022,Cycle Inspection / Initial Inspection
SAN CARLO OSTERIA PIEMONTE,Manhattan,THOMPSON STREET,10012,9172943781,Italian,07/27/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,07/27/2022,Cycle Inspection / Initial Inspection
CASA TOSCANA,Manhattan,WEST   52 STREET,10019,7186078306,Italian,07/27/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,07/27/2022,Cycle Inspection / Initial Inspection
MERCADO'S CUISINE,Manhattan,LEXINGTON AVENUE,10029,2124102793,Latin American,07/28/2022,Violations were cited in the following area(s).,Live roaches in facility's food or non-food area.,Critical,A,07/28/2022,Cycle Inspection / Initial Inspection
Burger World,Manhattan,9 AVENUE,10018,9172620539,American,08/02/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,08/02/2022,Cycle Inspection / Initial Inspection
AMATA,Manhattan,EAST   56 STREET,10022,2123080830,Italian,08/02/2022,Violations were cited in the following area(s).,Live roaches in facility's food or non-food area.,Critical,A,08/02/2022,Cycle Inspection / Initial Inspection
CLINTON HALL,Manhattan,EAST   51 STREET,10022,2127588519,American,08/02/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,08/02/2022,Cycle Inspection / Initial Inspection
KANOYAMA,Manhattan,2 AVENUE,10003,2127775266,Japanese,08/02/2022,Violations were cited in the following area(s).,Live roaches in facility's food or non-food area.,Critical,A,08/02/2022,Cycle Inspection / Initial Inspection
MAMASITA BAR,Manhattan,10 AVENUE,10019,2123159444,Mexican,08/04/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,08/04/2022,Cycle Inspection / Initial Inspection
GAZALA'S,Manhattan,AMSTERDAM AVENUE,10024,2127871800,Mediterranean,08/04/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,08/04/2022,Cycle Inspection / Initial Inspection
GO GO CURRY,Manhattan,WEST   38 STREET,10018,2127305555,Japanese,08/11/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,08/11/2022,Cycle Inspection / Initial Inspection
GO GO CURRY,Manhattan,WEST   38 STREET,10018,2127305555,Japanese,08/11/2022,Violations were cited in the following area(s).,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,A,08/11/2022,Cycle Inspection / Initial Inspection
THE TIMES EATERY,Manhattan,8 AVENUE,10036,6463867787,American,08/11/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,08/11/2022,Cycle Inspection / Initial Inspection
JAD JAAN,Manhattan,AUDUBON AVENUE,10032,9173883460,Thai,08/11/2022,Violations were cited in the following area(s).,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,A,08/11/2022,Cycle Inspection / Initial Inspection
SUSHUMAI ASIAN FUSION,Manhattan,STANTON STREET,10002,2127778808,Chinese/Japanese,08/15/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,08/15/2022,Cycle Inspection / Initial Inspection
AMC THEATRES,Manhattan,3 AVENUE,10003,2129822116,American,08/16/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,08/16/2022,Cycle Inspection / Initial Inspection
BANC CAFE,Manhattan,3 AVENUE,10016,2122520146,Irish,08/17/2022,Violations were cited in the following area(s).,Live roaches in facility's food or non-food area.,Critical,A,08/17/2022,Cycle Inspection / Initial Inspection
BANC CAFE,Manhattan,3 AVENUE,10016,2122520146,Irish,08/17/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,08/17/2022,Cycle Inspection / Initial Inspection
CHAI THAI KITCHEN,Manhattan,8 AVENUE,10019,2127078778,Thai,08/18/2022,Violations were cited in the following area(s).,Live roaches in facility's food or non-food area.,Critical,A,08/18/2022,Cycle Inspection / Initial Inspection
CHAI THAI KITCHEN,Manhattan,8 AVENUE,10019,2127078778,Thai,08/18/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,08/18/2022,Cycle Inspection / Initial Inspection
FALAFEL TARBOOSH,Manhattan,AMSTERDAM AVENUE,10031,2122344434,Middle Eastern,08/18/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,08/18/2022,Cycle Inspection / Initial Inspection
Flash Dancers,Manhattan,WEST   45 STREET,10036,2125824001,American,08/22/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,08/22/2022,Cycle Inspection / Initial Inspection
IL PICCOLO RISTORO,Manhattan,WEST   28 STREET,10001,3056065590,Italian,08/24/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,08/24/2022,Cycle Inspection / Initial Inspection
ZIZI,Manhattan,8 AVENUE,10011,6464549710,Mediterranean,08/24/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,08/24/2022,Cycle Inspection / Initial Inspection
CICCIO,Manhattan,6 AVENUE,10013,6464769498,Italian,08/25/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,08/25/2022,Cycle Inspection / Initial Inspection
GIORGIO'S OF GRAMERCY,Manhattan,EAST   21 STREET,10010,2124770007,Italian,08/29/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,08/29/2022,Cycle Inspection / Initial Inspection
ROTISSERIE,Manhattan,LIBERTY STREET,10280,2129818588,American,08/29/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,08/29/2022,Cycle Inspection / Initial Inspection
JANE,Manhattan,WEST HOUSTON STREET,10012,2122547000,American,08/29/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,08/29/2022,Cycle Inspection / Initial Inspection
COME PRIMA,Manhattan,MADISON AVENUE,10021,2125177700,Italian,08/30/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,08/30/2022,Cycle Inspection / Initial Inspection
TAZA CAFE & DELI,Manhattan,PARK AVENUE SOUTH,10010,2127791200,American,09/12/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,09/12/2022,Cycle Inspection / Initial Inspection
HOT POT UNDER DE' TREE,Manhattan,FREDERICK DOUGLAS BOULEVARD,10039,2122343505,Caribbean,09/19/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,09/19/2022,Cycle Inspection / Initial Inspection
CAFE CELLO DELI,Manhattan,WEST   46 STREET,10036,2127648600,American,09/20/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,09/20/2022,Cycle Inspection / Initial Inspection
CONNOLLY'S,Manhattan,WEST   45 STREET,10036,2125975126,Irish,09/22/2022,Violations were cited in the following area(s).,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,A,09/22/2022,Cycle Inspection / Initial Inspection
THE HAPPIEST HOUR,Manhattan,WEST   10 STREET,10011,2122432827,American,09/22/2022,Violations were cited in the following area(s).,Live roaches in facility's food or non-food area.,Critical,A,09/22/2022,Cycle Inspection / Initial Inspection
HSBC BANK,Manhattan,5 AVENUE,10018,5166606479,American,10/03/2022,Violations were cited in the following area(s).,Live roaches in facility's food or non-food area.,Critical,A,10/03/2022,Cycle Inspection / Initial Inspection
ABYSSINIA ETHIOPIAN RESTAURANT,Manhattan,WEST  135 STREET,10030,2122812673,Ethiopian,10/03/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,10/03/2022,Cycle Inspection / Initial Inspection
